#Coverage (X)	Coverage
1.0	27.950670336851687
2.0	27.950670336851687
3.0	24.550963423569712
4.0	24.550963423569712
5.0	23.245935402103086
6.0	23.245935402103086
7.0	22.205279521555724
8.0	22.205279521555724
9.0	21.806245915598936
10.0	21.806245915598936
11.0	21.421074519278363
12.0	21.421074519278363
13.0	20.821038873596436
14.0	20.821038873596436
15.0	20.571519100144542
16.0	20.571519100144542
17.0	20.398736558607425
18.0	20.398736558607425
19.0	20.06802384300056
20.0	20.06802384300056
21.0	19.61255124066774
22.0	19.61255124066774
23.0	19.381349387092285
24.0	19.381349387092285
25.0	18.98182070221992
26.0	18.98182070221992
27.0	18.631799908905464
28.0	18.631799908905464
29.0	18.46941402459551
30.0	18.46941402459551
31.0	18.3248509812464
32.0	18.3248509812464
33.0	18.25801532764322
34.0	18.25801532764322
35.0	18.192169831871198
36.0	18.192169831871198
37.0	18.106521179476005
38.0	18.106521179476005
39.0	18.002554607204388
40.0	18.002554607204388
41.0	17.82977206566727
42.0	17.82977206566727
43.0	17.442620353684376
44.0	17.442620353684376
45.0	17.100025744103604
46.0	17.100025744103604
47.0	16.89902370437848
48.0	16.89902370437848
49.0	16.880705784502055
50.0	16.880705784502055
51.0	16.85793215438541
